PANID,WEEK,UNITs,OUTLET,DOLLARS,IRI_KEY,COLUPC,city,chain,*STUBSPEC 1440RC,VOL_EQ,PRODUCT TYPE,FLAVOR/SCENT,FORM,PACKAGE,BREWING METHOD,L5,brand,income,size,race
1101238,1380,1,GR,3,259111,11114110118,Pittsfield,9,        +8OCLK HZLNT GRND CFE       12OZ 0 1 11141 10118 1  1 0.7500RP   03608,1,COFFEE,HAZELNUT,GROUND,FOIL BAG,ALL PURPOSE,EIGHT O CLOCK,3,5,2,1
1101238,1386,1,GR,5,259111,11114110220,Pittsfield,9,        +8OCLK FVAN WBCFE CAFEN     12OZ 0 1 11141 10220 1  1 0.7500RP   12670,1,WHOLE BEAN COFFEE,FRENCH VANILLA,MISSING,FOIL BAG,MISSING,EIGHT O CLOCK,3,5,2,1
1101238,1403,1,GR,4,248128,12550007085,Pittsfield,3,        +FSMSM REG GRND CFE       11.5OZ 0 1 25500  7085 1  1 0.7188RP   06774,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,FOLGERS SIMPLY SMOOTH,2,5,2,1
1101238,1406,2,GR,9,259111,22550080031,Pittsfield,9,        +FOLGR REG GRND CFE DECAF   13OZ 0 2 25500 80031 1  1 0.8125RP   06760,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,FOLGERS,2,5,2,1
1101238,1417,1,GR,4,248128,12550007085,Pittsfield,3,        +FSMSM REG GRND CFE       11.5OZ 0 1 25500  7085 1  1 0.7188RP   06774,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,FOLGERS SIMPLY SMOOTH,2,5,2,1
1101238,1419,2,GR,12,234140,11114110523,Pittsfield,2,        +8OCLK ORIGB WBCFE DECAF    13OZ 0 1 11141 10523 1  1 0.8125RP   12676,1,WHOLE BEAN COFFEE,ORIGINAL BLEND,MISSING,FOIL BAG,MISSING,EIGHT O CLOCK,3,5,2,1
1101238,1424,2,GR,12,234140,11114110523,Pittsfield,2,        +8OCLK ORIGB WBCFE DECAF    13OZ 0 1 11141 10523 1  1 0.8125RP   12676,1,WHOLE BEAN COFFEE,ORIGINAL BLEND,MISSING,FOIL BAG,MISSING,EIGHT O CLOCK,3,5,2,1
1101238,1425,2,GR,9,248128,12550007085,Pittsfield,3,        +FSMSM REG GRND CFE       11.5OZ 0 1 25500  7085 1  1 0.7188RP   06774,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,FOLGERS SIMPLY SMOOTH,2,5,2,1
1101253,,,,,,,,,,,,,,,,,,9,3,1
1101279,1381,3,GR,5,259111,12550080258,Pittsfield,9,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,6,2,1
1101279,1391,1,GR,3,259111,11114110032,Pittsfield,9,        +8OCLK ORIGB WBCFE CAFEN    13OZ 0 1 11141 10032 1  1 0.8125RP   12674,1,WHOLE BEAN COFFEE,ORIGINAL BLEND,MISSING,FOIL BAG,MISSING,EIGHT O CLOCK,3,6,2,1
1101279,1391,3,GR,5,259111,32550000051,Pittsfield,9,        +FOLGR CLMBI GRND CFE     11.5OZ 0 3 25500    51 1  1 0.7188RP   02759,1,COFFEE,COLOMBIAN,GROUND,CANISTER,FOR ALL COFEE MAKERS,FOLGERS,2,6,2,1
1101279,1398,2,GR,5,652159,11114110122,Pittsfield,2,        +8OCLK CLMBI GRND CFE       12OZ 0 1 11141 10122 1  1 0.7500RP   03601,1,COFFEE,COLOMBIAN,GROUND,FOIL BAG,ALL PURPOSE,EIGHT O CLOCK,3,6,2,1
1101279,1407,1,GR,2,259111,42550000051,Pittsfield,9,        +FLCOH CLMBI GRND CFE     11.5OZ 0 4 25500    51 1  1 0.7188RP   02834,1,COFFEE,COLOMBIAN,GROUND,CAN,ALL PURPOSE,FOLGERS COFFEE HOUSE,2,6,2,1
1101279,1424,1,GR,3,248128,12550080258,Pittsfield,3,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,6,2,1
1101337,,,,,,,,,,,,,,,,,,5,1,1
1101386,1379,2,GR,3,213290,34300070150,Pittsfield,1,        +MAXHS FRCHR GRND CFE     11.5OZ 0 3 43000 70150 1  1 0.7188RP   00125,1,COFFEE,FRENCH ROAST,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,1,1,1
1101386,1381,3,GR,5,259111,32550080288,Pittsfield,9,        +FOLGR GRTSP GRND CFE     11.5OZ 0 3 25500 80288 1  1 0.7188RP   02794,1,COFFEE,MISSING,GROUND,CAN,ALL PURPOSE,FOLGERS,2,1,1,1
1101386,1391,3,GR,5,259111,12550006764,Pittsfield,9,        +FOLGR FVAN GRND CFE      11.5OZ 0 1 25500  6764 1  1 0.7188RP   02790,1,COFFEE,FRENCH VANILLA,GROUND,CAN,ALL PURPOSE,FOLGERS,2,1,1,1
1101386,1396,1,GR,9,266596,14300070630,Pittsfield,5,        +MAXHS REG GRND CFE CAFEN   39OZ 0 1 43000 70630 1  1 2.4375RP   00154,2,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,1,1,1
1101386,1396,1,GR,2,234140,14300072201,Pittsfield,2,        +MAXHS HZLNT GRND CFE     11.5OZ 0 1 43000 72201 1  1 0.7188RP   00128,1,COFFEE,HAZELNUT,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,1,1,1
1101386,1402,2,GR,9,248128,12550006955,Pittsfield,3,        +FOLGR CTR#8 GRND CFE     34.5OZ 0 1 25500  6955 1  1 2.1563RP   02786,2,COFFEE,MISSING,GROUND,CAN,ALL PURPOSE,FOLGERS,2,1,1,1
1101386,1406,2,GR,5,259111,12550007084,Pittsfield,9,        +FSMSM REG GRND CFE       11.5OZ 0 1 25500  7084 1  1 0.7188RP   02864,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,FOLGERS SIMPLY SMOOTH,2,1,1,1
1101386,1417,1,GR,5,234140,14300070630,Pittsfield,2,        +MAXHS REG GRND CFE CAFEN   39OZ 0 1 43000 70630 1  1 2.4375RP   00154,2,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,MAXWELL HOUSE,1,1,1,1
1101386,1419,3,GR,10,248128,12550006955,Pittsfield,3,        +FOLGR CTR#8 GRND CFE     34.5OZ 0 1 25500  6955 1  1 2.1563RP   02786,2,COFFEE,MISSING,GROUND,CAN,ALL PURPOSE,FOLGERS,2,1,1,1
1101386,1420,3,GR,27,248128,12550006955,Pittsfield,3,        +FOLGR CTR#8 GRND CFE     34.5OZ 0 1 25500  6955 1  1 2.1563RP   02786,2,COFFEE,MISSING,GROUND,CAN,ALL PURPOSE,FOLGERS,2,1,1,1
1101402,,,,,,,,,,,,,,,,,,7,1,1
1101477,1374,1,GR,3,248128,32550082100,Pittsfield,3,        +FOLGR FRCHR GRND CFE     11.5OZ 0 3 25500 82100 1  1 0.7188RP   02788,1,COFFEE,FRENCH ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,6,1,1
1101477,1375,1,GR,3,248128,12550006539,Pittsfield,3,        +FOLGR CLSRS GRND CFE     11.5OZ 0 1 25500  6539 1  1 0.7188RP   02778,1,COFFEE,CLASSIC ROAST,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,1,1
1101477,1378,1,GR,3,248128,12550006539,Pittsfield,3,        +FOLGR CLSRS GRND CFE     11.5OZ 0 1 25500  6539 1  1 0.7188RP   02778,1,COFFEE,CLASSIC ROAST,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,1,1
1101477,1379,1,GR,4,248128,22550080031,Pittsfield,3,        +FOLGR REG GRND CFE DECAF   13OZ 0 2 25500 80031 1  1 0.8125RP   06760,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,FOLGERS,2,6,1,1
1101477,1391,1,GR,4,248128,12550006763,Pittsfield,3,        +FOLGR HZLNT GRND CFE     11.5OZ 0 1 25500  6763 1  1 0.7188RP   02797,1,COFFEE,HAZELNUT,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,1,1
1101477,1394,1,GR,3,248128,12550006539,Pittsfield,3,        +FOLGR CLSRS GRND CFE     11.5OZ 0 1 25500  6539 1  1 0.7188RP   02778,1,COFFEE,CLASSIC ROAST,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,1,1
